location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters
El Salvador,2021-02-17,Oxford/AstraZeneca,https://www.laprensagrafica.com/elsalvador/Vacuna-contra-covid-Unas-6-mil-dosis-han-sido-aplicadas-en-cinco-dias-dice-Gobierno-20210222-0043.html,0,0,,
El Salvador,2021-02-22,Oxford/AstraZeneca,https://www.laprensagrafica.com/elsalvador/Vacuna-contra-covid-Unas-6-mil-dosis-han-sido-aplicadas-en-cinco-dias-dice-Gobierno-20210222-0043.html,6000,6000,,
El Salvador,2021-02-25,Oxford/AstraZeneca,https://www.presidencia.gob.sv/gobierno-ya-aplico-16000-vacunas-anti-covid-19-al-personal-de-salud-de-primera-linea-publica-y-privada/,16000,16000,,
El Salvador,2021-03-14,Oxford/AstraZeneca,https://www.elsalvadoreño.com/elsalvador/25000-profesionales-de-salud-han-sido-vacunados-a-la-fecha-en-el-salvador/,25000,25000,,
El Salvador,2021-03-17,Oxford/AstraZeneca,https://twitter.com/ComunicacionSV/status/1372275251703394307,36000,36000,,
El Salvador,2021-03-18,Oxford/AstraZeneca,https://forbescentroamerica.com/2021/03/18/el-salvador-ha-aplicado-mas-de-41500-vacunas-al-mes-de-su-llegada/?fbclid=IwAR2war01Oupvb_G8LSfYo5zcOllAZDFle2rzLtO64RS2lsnc3wTMYD6rKpw,41512,41512,,
El Salvador,2021-03-21,Oxford/AstraZeneca,https://www.laprensagrafica.com/covid-19/El-Salvador-lleva-mas-49000-vacunas-aplicadas-contra-covid-19-20210321-0022.html,49000,49000,,
El Salvador,2021-03-28,"Oxford/AstraZeneca, Pfizer/BioNTech",https://lapagina.com.sv/nacionales/minsal-ha-aplicado-70000-vacunas-contra-el-covid-19-hasta-este-momento/,70000,70000,,
El Salvador,2021-03-31,"Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/FranAlabi/status/1377234880074035201,99855,99855,,
El Salvador,2021-04-01,"Oxford/AstraZeneca, Pfizer/BioNTech",https://diarioelsalvador.com/120476-vacunas-contra-la-covid-19-han-sido-aplicadas-desde-el-inicio-de-las-jornadas-de-inmunizacion-en-el-salvador/59690/,120476,120476,,
